Time,Distance,prediction
2035,6800,3
1948,4560,0
1857,4590,0
2145,5260,0
1526,4250,0
2611,6680,3
2974,7010,3
2479,5450,0
2568,6720,3
1451,3440,0
3062,7370,3
2602,7370,3
4643,11150,2
3107,8550,2
1499,4750,0
1980,5050,0
2076,5510,0
1500,4830,0
2316,7250,3
2239,6600,3
2949,8790,2
1816,6380,3
1945,6130,3
1907,6190,3
2087,6510,3
2627,8340,3
1821,6070,3
1930,5990,3
1613,5430,0
1186,3860,0
1351,4330,0
1693,5620,0
1687,5720,0
1249,3840,0
1069,3590,0
1573,5420,0
1584,5600,0
1291,4690,0
1237,4400,0
1617,5730,0
1459,5290,0
1410,5230,0
1363,4990,0
1394,5100,0
1355,5130,0
1414,5110,0
1350,5140,0
1336,5060,0
1322,5130,0
1320,5130,0
1127,4420,0
1312,5160,0
1705,5960,3
1290,5040,0
1848,5070,0
1280,5110,0
1572,4370,0
1299,4610,0
1212,5000,0
1346,4900,0
1507,5590,0
1520,5570,0
2480,7690,3
1813,6590,3
2170,7380,3
2299,8150,3
4630,14830,1
1529,5390,0
2163,7380,3
3586,11260,2
6722,21170,1
1957,6360,3
740,2570,0
1198,4120,0
1529,4860,0
1560,5330,0
3557,11290,2
3427,10300,2
2058,6820,3
919,3280,0
1381,4810,0
1334,4290,0
1137,3530,0
1173,2810,0
2024,4940,0
1394,4880,0
1161,3090,0
1484,4890,0
1267,4820,0
1362,4340,0
1471,5010,0
1741,4530,0
1950,6640,3
1002,3630,0
1231,4600,0
904,3630,0
1234,4530,0
1391,5370,0
1512,5170,0
1349,5210,0
867,3040,0
901,3670,0
2234,7370,3
1177,5000,0
1316,5030,0
2889,9680,2
1546,5670,0
1341,4400,0
2845,10000,2
1253,4930,0
1750,5460,0
1318,5000,0
1269,4420,0
1660,3930,0
1615,3640,0
1967,5460,0
1616,4710,0
1757,4560,0
1432,4740,0
1544,5330,0
1039,3790,0
2138,6490,3
1598,5360,0
1705,5830,3
1425,4700,0
1391,4840,0
1559,4440,0
2395,7530,3
3224,10020,2
3010,10150,2
3779,12900,2
2679,10000,2
1898,4700,0
1751,5510,0
377,1700,0
1511,4330,0
1499,4360,0
3659,10480,2
959,3140,0
988,2830,0
1293,4630,0
2013,6380,3
1467,5000,0
2972,10050,2
2387,8230,3
2012,5520,0
